Unnamed: 0,brand,current_price,ram,storage,os,graphics,processor
86,Acer,59990.0,16,1024,Windows 11,Integrated,AMD Ryzen 7
87,MSI,67490.0,16,512,Windows 11,6 GB Graphics,Intel Core i5
88,HP,65900.0,16,512,Windows 11,Integrated,Intel Core 5
89,Acer,40500.0,8,256,Windows 11,Integrated,Intel Core Ultra
90,Lenovo,58990.0,16,512,Windows 11,Integrated,Intel Core i5
91,HP,59491.0,16,512,Windows 11,Integrated,Intel Core 3
92,MOTOROLA,59990.0,16,512,Windows 11,Integrated,Intel Core Ultra
93,HP,50190.0,8,512,Windows 11,Integrated,Intel Core 3
94,HP,59990.0,16,512,Windows 11,Integrated,Intel Core 5
95,Lenovo,43990.0,8,512,Windows 11,Integrated,AMD Ryzen 3
96,ASUS,19990.0,4,512,Windows 11,Integrated,Intel Core Ultra
97,ASUS,88990.0,16,512,Windows 11,Integrated,Intel Core Ultra
98,ASUS,56990.0,16,512,Windows 11,Integrated,Intel Core i3
99,HP,80990.0,16,1024,Windows 11,Integrated,Intel Core Ultra
100,HP,159990.0,24,1024,Windows 11,8 GB Graphics,AMD Ryzen 9
101,ASUS,51990.0,8,512,Windows 11,Integrated,Intel Core 3
102,HP,72990.0,16,512,Windows 11,4 GB Graphics,Intel Core i5
103,MICROSOFT,108990.0,16,512,Windows 11,Integrated,Snapdragon X
104,ASUS,103990.0,16,512,Windows 11,Integrated,Intel Core Ultra
105,HP,46980.0,8,512,Windows 11,Integrated,Intel Core 3
106,Lenovo,99990.0,16,512,Windows 11,6 GB Graphics,Intel Core i7
107,MSI,41999.0,16,512,Windows 11,Integrated,Intel Core i3
108,Acer,58586.0,16,1024,Windows 11,Integrated,AMD Ryzen 7
109,MOTOROLA,59990.0,16,512,Windows 11,Integrated,Intel Core Ultra
110,MOTOROLA,59990.0,16,512,Windows 11,Integrated,Intel Core Ultra
111,Infinix,45990.0,16,512,Windows 11,Integrated,Intel Core i7
112,Apple,96990.0,16,256,Windows 11,Integrated,Intel Core Ultra
113,Ultimus,24699.0,8,512,Windows 11,Integrated,Intel Core Ultra
114,HP,80990.0,16,1024,Windows 11,Integrated,Intel Core Ultra
115,DELL,47990.0,8,512,Windows 11,Integrated,Intel Core 3
116,MSI,42990.0,8,512,Windows 11,Integrated,Intel Core i3
117,MICROSOFT,108990.0,16,512,Windows 11,Integrated,Snapdragon X
118,ASUS,103990.0,16,512,Windows 11,Integrated,Intel Core Ultra
119,ASUS,35490.0,8,512,Windows 11,Integrated,AMD Ryzen 5
120,Apple,85990.0,8,256,Windows 11,Integrated,Intel Core Ultra
121,Lenovo,66900.0,16,512,Windows 11,Integrated,Intel Core i5
122,MOTOROLA,59990.0,16,512,Windows 11,Integrated,Intel Core Ultra
123,MOTOROLA,59990.0,16,512,Windows 11,Integrated,Intel Core Ultra
124,ASUS,24990.0,8,512,Windows 11,Integrated,Intel Core Ultra
125,Lenovo,73490.0,16,1024,Windows 11,Integrated,Intel Core i5
126,ASUS,78990.0,16,512,Windows 11,Integrated,Intel Core i7
127,ASUS,48990.0,8,512,Windows 11,Integrated,AMD Ryzen 5
128,ASUS,88990.0,16,512,Windows 11,Integrated,Intel Core Ultra
129,DELL,44990.0,8,512,Windows 11,Integrated,Intel Core i3
130,MICROSOFT,103822.0,16,256,Windows 11,Integrated,Snapdragon X
131,HP,80990.0,16,1024,Windows 11,Integrated,Intel Core Ultra
132,Acer,31924.0,8,512,Windows 11,Integrated,Intel Core Ultra
133,MSI,69990.0,16,1024,Windows 11,4 GB Graphics,AMD Ryzen 7
134,Lenovo,60990.0,16,1024,Windows 11,Integrated,Intel Core i5
135,MICROSOFT,111102.0,16,256,Windows 11,Integrated,Snapdragon X
136,MICROSOFT,110902.0,16,512,Windows 11,Integrated,Snapdragon X
137,ASUS,34990.0,8,256,Windows 11,Integrated,Intel Core i3
138,ASUS,89557.0,16,512,Windows 11,Integrated,Intel Core 5
139,MOTOROLA,59990.0,16,512,Windows 11,Integrated,Intel Core Ultra
140,MOTOROLA,59990.0,16,512,Windows 11,Integrated,Intel Core Ultra
141,HP,61388.0,16,512,Windows 11,Integrated,AMD Ryzen 7
142,HP,58990.0,16,512,Windows 11,Integrated,Intel Core i5
143,Apple,98490.0,8,512,Windows 11,Integrated,Intel Core Ultra
144,MICROSOFT,103822.0,16,256,Windows 11,Integrated,Snapdragon X
145,HP,80990.0,16,1024,Windows 11,Integrated,Intel Core Ultra
146,Infinix,46999.0,16,512,Windows 11,Integrated,Intel Core i7
147,HP,72490.0,16,512,Windows 11,6 GB Graphics,Intel Core i5
148,ASUS,88990.0,16,512,Windows 11,Integrated,Intel Core Ultra
149,Apple,77990.0,8,512,Windows 11,Integrated,Intel Core Ultra
150,MSI,44990.0,16,512,Windows 11,Integrated,AMD Ryzen 5
151,ASUS,42990.0,8,512,Windows 11,Integrated,Intel Core i3
152,ASUS,96990.0,16,1024,Windows 11,Integrated,Intel Core Ultra
153,MSI,41990.0,8,512,Windows 11,Integrated,AMD Ryzen 5
154,MOTOROLA,59990.0,16,512,Windows 11,Integrated,Intel Core Ultra
155,MOTOROLA,59990.0,16,512,Windows 11,Integrated,Intel Core Ultra
156,HP,83059.0,16,512,Windows 11,6 GB Graphics,Intel Core i5
157,ASUS,40990.0,8,512,Windows 11,Integrated,AMD Ryzen 5
158,DELL,140490.0,16,1024,Windows 11,Integrated,Intel Core 7
159,HP,58990.0,16,512,Windows 11,Integrated,Intel Core i5
160,ASUS,64999.0,16,512,Windows 11,Integrated,Intel Core i7
161,Lenovo,64990.0,16,1024,Windows 11,Integrated,Snapdragon X
162,HP,80990.0,16,1024,Windows 11,Integrated,Intel Core Ultra
163,Acer,39990.0,16,512,Windows 11,Integrated,AMD Ryzen 5
164,MICROSOFT,108990.0,16,512,Windows 11,Integrated,Snapdragon X
165,ASUS,103990.0,16,512,Windows 11,Integrated,Intel Core Ultra
166,Acer,52047.0,16,512,Windows 11,Integrated,Intel Core i5
167,Lenovo,39990.0,8,512,Windows 11,Integrated,Intel Core i3
168,Lenovo,82490.0,24,512,Windows 11,8 GB Graphics,AMD Ryzen 7
169,Acer,44990.0,16,512,Windows 11,Integrated,AMD Ryzen 3
170,MOTOROLA,59990.0,16,512,Windows 11,Integrated,Intel Core Ultra
171,MOTOROLA,59990.0,16,512,Windows 11,Integrated,Intel Core Ultra
172,ASUS,37990.0,16,512,Windows 11,Integrated,AMD Ryzen 3
173,Acer,64757.0,16,512,Windows 11,Integrated,Intel Core Ultra
174,Acer,39990.0,8,512,Windows 11,Integrated,Intel Core Ultra
175,ASUS,88990.0,16,512,Windows 11,Integrated,Intel Core Ultra
176,Lenovo,26990.0,4,512,Windows 11,Integrated,Intel Core Ultra
177,MICROSOFT,103822.0,16,256,Windows 11,Integrated,Snapdragon X
178,HP,80990.0,16,1024,Windows 11,Integrated,Intel Core Ultra
179,HP,112800.0,24,1024,Windows 11,8 GB Graphics,AMD Ryzen 7
180,Acer,57500.0,8,512,Windows 11,Integrated,AMD Ryzen 5
181,DELL,111990.0,16,512,Windows 11,6 GB Graphics,Intel Core i7
182,Lenovo,43990.0,8,512,Windows 11,Integrated,AMD Ryzen 3
183,ASUS,119990.0,16,512,Windows 11,Integrated,Intel Core 7
184,Lenovo,96000.0,16,512,Windows 11,6 GB Graphics,Intel Core i5
185,HP,47990.0,8,512,Windows 11,Integrated,Intel Core i3
186,MSI,42990.0,8,512,Windows 11,Integrated,Intel Core i3
187,MOTOROLA,59990.0,16,512,Windows 11,Integrated,Intel Core Ultra
188,MOTOROLA,59990.0,16,512,Windows 11,Integrated,Intel Core Ultra
189,DELL,70990.0,16,512,Windows 11,Integrated,Intel Core i5
190,DELL,46990.0,8,512,Windows 11,Integrated,Intel Core 3
191,MSI,77990.0,16,512,Windows 11,4 GB Graphics,Intel Core i7
192,Colorful,83990.0,16,512,Windows 11,8 GB Graphics,Intel Core i7
193,ASUS,100990.0,16,512,Windows 11,Integrated,Intel Core Ultra
194,DELL,45990.0,8,512,Windows 11,Integrated,Intel Core i3
195,HP,55900.0,16,512,Windows 11,Integrated,Intel Core i3
196,MICROSOFT,108990.0,16,512,Windows 11,Integrated,Snapdragon X
197,ASUS,103990.0,16,512,Windows 11,Integrated,Intel Core Ultra
198,DELL,51990.0,8,512,Windows 11,Integrated,Intel Core i3
199,Lenovo,52990.0,16,512,Windows 11,Integrated,AMD Ryzen 5
200,Lenovo,109990.0,16,512,Windows 11,6 GB Graphics,Intel Core i7
201,MICROSOFT,110902.0,16,512,Windows 11,Integrated,Snapdragon X
202,DELL,54990.0,8,512,Windows 11,Integrated,Intel Core i5
203,MOTOROLA,59990.0,16,512,Windows 11,Integrated,Intel Core Ultra
204,MOTOROLA,59990.0,16,512,Windows 11,Integrated,Intel Core Ultra
205,HP,89900.0,24,512,Windows 11,6 GB Graphics,Intel Core i5
206,HP,55990.0,16,512,Windows 11,Integrated,AMD Ryzen 5
207,ASUS,88990.0,16,512,Windows 11,Integrated,Intel Core Ultra
208,ASUS,70732.0,16,512,Windows 11,Integrated,Snapdragon X
209,HP,114990.0,24,1024,Windows 11,8 GB Graphics,Intel Core 7
210,MICROSOFT,103822.0,16,256,Windows 11,Integrated,Snapdragon X
211,HP,80990.0,16,1024,Windows 11,Integrated,Intel Core Ultra
